Dopant,Dopant/Ti mole ratio,Calcination temperature,Pollutant,Catalyst/Pollutant mass ratio,pH,Experimental temperature,Light wavelength,Illumination time,Degradation rate
C,16,600,MB,20,7,25,425,60,80
S,0,800,MO,100,2.5,25,580,120,35
Ag,0.01,400,MB,50,6.8,25,254,150,71.5
Ag,0.01,400,MB,50,6.8,25,254,60,45.1
Ag,0.01,400,MB,100,6.8,25,254,30,61
Ag,0.01,400,MB,20,7,32,254,60,96.11
N,0,700,Phenol,1000,5,25,525,240,92
Ni,0.12,500,MO,400,0,25,365,60,58.7
S,1.05,500,Phenol,10,8,25,510,60,74.8
Cd,0.15,500,AO,50,7,0,580,40,22.54
Ga,0.01,500,MB,250,7.5,25,525,180,100
N,0.03,500,MB,200,7,25,580,50,73
N,0,400,MB,100,5,25,550,30,8.6
Bi,0,600,Phenol,100,7,25,525,60,78.72
N,18.6,450,MB,750,7,25,600,60,86.5
pure,0,700,MB,50,7,0,345,30,90.8
N,0.05,500,MB,200,7,25,580,80,79
Ni,0.03,500,MO,400,0,25,525,20,95.5
F,1.5,450,MB,100,7,25,420,60,53.6
S,0,700,MO,100,2.5,25,580,240,87
S,0,850,MO,100,2.5,25,580,300,22
C,0,400,MO,1000,7,25,575,240,67
Ag,0.01,400,MB,175,6.8,25,254,180,92.4
N,0,700,Phenol,1000,5,25,525,120,62
Ag,0.01,400.01,MB,39.98,6.78,25,253.98,179.98,72
Ag,0.01,400,MR,50,6.4,20,365,30,96.3
Ce,0,550,MB,400,0,25,345,60,40.5
Bi,0,400,Phenol,100,7,25,525,90,89.5
Ce,0.02,550,MB,400,0,25,345,240,68.8
N,0,500,Phenol,1000,5,25,580,300,41
S,0,750,MO,100,2.5,25,345,30,71
Ag,0.01,400,MB,16,7,32,254,60,93.42
S,0,550,MO,100,2.5,25,345,60,95
Ag,0.02,400,MB,175,6.8,24.99,253.99,179.99,92.4
Ce,0.02,550,MB,400,0,25,345,180,61.3
Fe,0.07,400,MB,100,7,25,580,15,10
Ag,0.01,400,MR,15,6.4,20,365,45,63.8
C,0,400,MO,1000,7,25,575,60,55
Ag,0.01,400,MB,10,9,32,254,60,59.05
Ni,0.12,500,MO,400,0,25,365,30,37
N,0.02,500,MB,200,7,25,580,100,70.8
Bi,0,500,Phenol,100,7,25,525,15,22.75
N,0,400,MB,100,3,25,550,240,36.85
S,1.5,450,MB,100,7,25,420,60,25
Ag,0.01,400,MR,50,6.4,20,365,75,100
pure,0,500,MB,50,7,0,345,30,84.6
S,0,800,MO,100,2.5,25,345,30,53
C,16,600,MB,20,7,25,425,80,87
Ni,0.06,500,MO,400,0,25,525,10,91.2
Ce,0.01,500,MO,215.38,0,25,580,90,27
S,0,700,MO,100,2.5,25,580,300,93.5
N,0,400,MB,100,3,25,550,30,4.5
Ga,0.06,500,MB,100,7.5,25,525,60,86
C,16,700,MB,100,7,25,425,100,94
N,18.6,450,MO,333.33,7,25,600,180,75
C,16,500,MB,100,7,25,425,20,78
Ga,0.01,500,MB,250,7.5,25,525,120,92
C,16,600,MB,50,7,25,425,100,100
N,18.6,450,MB,333.33,7,25,475,150,74
Ni,0.03,500,MO,400,0,25,525,5,43.1
N,0,600,Phenol,1000,5,25,525,60,41
Ni,0.03,500,MO,400,0,25,365,30,36.3
S,1.05,600,Phenol,10,8,25,510,60,100
Mo,0.03,450,MO,27.5,0,25,400,60,29
N,0,400,MB,100,5,25,463,60,5.7
I,10,500,MB,100,7,25,430,20,10
N,0.02,500,MB,200,7,25,580,180,81.2
Ce,0.01,400,Phenol,50,7,25,365,120,27
Mo,0.01,450,MO,18.5,0,25,400,90,40
Ce,0,550,MB,400,0,25,345,180,73.5
pure,0,400,MB,100,6.8,25,254,60,75.5
Bi,0,500,Phenol,100,7,25,525,90,93.21
Ce,0,550,MB,400,0,25,345,480,88.5
pure,0,500,MB,50,7,0,345,45,97.7
N,18.6,450,MO,333.33,7,25,475,180,83
Ag,0.01,400,MB,10,5,32,254,60,55.36
Ag,0.01,400,MB,40,6.8,25,254,180,72
pure,0,500,MO,400,0,0,525,10,24.6
C,16,600,MB,100,3,25,425,20,42
Ga,0,500,MB,100,7.5,25,525,105,97
N,13.9,450,MB,400,7,25,600,30,57
C,16,700,MB,100,7,25,425,20,62
Ga,0.01,500,MB,100,7.5,25,525,90,95
Cd,0.15,500,AO,50,7,0,580,100,66.48
Fe,0,500,MB,100,7,0,545,60,28.1
N,0.05,500,MB,200,7,25,580,160,93
Ag,0.01,400,MB,100,8,25,254,120,97
N,0.03,500,MB,200,7,25,580,180,93.54
pure,0,400,MB,50,7,0,345,45,72.7
pure,0,500,MO,400,0,0,525,30,77.3
pure,0,750,MB,50,7,0,345,45,99.8
Ce,0.02,550,MB,400,0,25,345,300,75
N,0.05,500,MB,200,7,25,580,20,52.2
Ce,0.01,500,MO,215.38,0,25,580,150,39
Mo,0.02,450,MO,21.5,0,25,400,30,20
Ni,0.12,500,MO,400,0,25,525,30,99
C,16,600,MB,50,7,25,425,40,86
Ce,0,400,Phenol,50,7,25,365,180,100
S,0,750,MO,100,2.5,25,580,180,77
I,10,500,MB,100,7,25,430,120,50
Ni,0.06,500,MO,400,0,25,525,25,98.1
pure,10,500,MB,100,7,25,365,100,56
N,0.05,500,MB,200,7,25,580,10,33.66
Cd,0.05,500,AO,50,7,0,580,100,63.58
F,10,500,MB,100,7,25,430,60,37
Ag,0.01,400,MB,62.5,6.8,25,254,180,85
C,16,600,MB,100,7,25,425,80,100
N,0,400,MB,100,7,25,550,240,66
Ag,0.01,400,MR,100,6.4,20,365,45,100
N,0.02,500,MB,200,7,25,580,80,68.8
C,16,600,MB,400,7,25,425,20,79
S,0,500,MO,100,2.5,25,345,60,96.5
F,0.22,500,MB,200,7,25,580,180,62
Ce,0,550,MB,400,0,25,345,120,61.6
S,0,750,MO,100,2.5,25,580,240,83
N,18.6,450,MB,187.5,7,25,600,120,59.77
S,0.01,500,MO,100,2.5,25,345,45,59
Cd,0.15,500,AO,50,2,0,580,120,93.75
pure,0,800,MB,50,7,0,345,60,72.9
N,0,500,Phenol,1000,5,25,580,120,21
Ni,0.03,500,MO,400,0,25,365,120,87.9
Ag,0.01,400,MB,50,6.8,25,254,180,80
pure,0,400,MB,100,6.8,25,254,45,68.5
N,0,400,MB,100,5,25,463,180,18
pure,0,600,MB,50,7,0,345,45,95.6
Ce,0.01,500,MO,215.38,0,25,580,180,47.9
Ag,0.01,400,MB,100,13,25,254,120,99
S,1.5,450,MB,100,7,25,420,240,77
C,16,600,MB,20,7,25,425,20,62
S,0,700,MO,100,2.5,25,345,15,42
C,16,400,MB,100,7,25,425,20,30
pure,0,400,MB,100,6.8,25,254,120,90
F,10,500,MB,100,7,25,430,20,15
Ce,0,400,Phenol,50,7,25,365,180,54
C,16,600,MB,100,10,25,425,20,96
C,16,600,MB,100,3,25,425,40,52
Bi,0,600,Phenol,100,7,25,525,30,46.61
N,0,700,Phenol,1000,5,25,580,360,29
Ag,0.01,400,MB,100,7,25,254,120,95
N,0.02,500,MB,200,7,25,580,50,58.9
Bi,0,500,Phenol,100,7,25,525,30,40.55
N,18.6,450,MB,333.33,7,25,475,30,37
Ce,0,550,MB,400,0,25,345,240,73.4
Ag,0.01,400,MB,66.67,6.8,25,254,30,40
C,16,600,MB,50,7,25,425,80,96
S,0,800,MO,100,2.5,25,580,240,56
S,1.05,700,Phenol,10,8,25,510,80,100
pure,0,400,MB,50,7,0,345,90,97.5
Ag,0.01,400,MB,15,7,32,254,60,62.55
S,0,500,MO,100,2.5,25,345,15,42.5
Ag,0.01,400,MB,23.96,5,32,254,60,90.76
Ag,0.01,400,MB,8,5,32,254,60,85.55
Mo,0.01,450,MO,35.5,0,25,525,150,43
S,1.5,450,MB,100,7,25,420,120,47
Ga,0.01,500,MB,125,7.5,25,525,120,73
Fe,0,500,MB,100,7,0,545,120,44
N,18.6,450,MB,187.5,7,25,600,60,45.12
Ni,0.06,500,MO,400,0,25,525,30,99.3
Ag,0.02,400.01,MB,39.99,6.79,24.98,253.99,179.99,71.99
Ni,0.03,500,MO,400,0,25,525,15,90.5
Ag,0.01,400,MR,50,3,20,365,45,97.3
P,0.04,500,RhB,16.67,7,16,420,20,78
C,16,600,MB,100,7,25,425,20,89
Fe,0.05,400,MB,100,7,25,580,60,43
pure,0,750,MB,50,7,0,345,60,100
Bi,0,400,Phenol,100,7,25,525,30,19.52
pure,10,500,MB,100,7,25,450,100,9
pure,0,500,MO,400,0,0,525,5,15.9
pure,0,500,MB,100,7,0,545,240,24.4
Ga,0.01,500,MB,250,7.5,25,525,30,32
Ce,0,550,MB,400,0,25,345,360,82.7
F,0.47,500,MB,200,7,25,580,180,80
Ag,0.01,400,MB,50,6.8,25,254,30,28.5
N,0.05,500,MB,200,7,25,580,60,77
Ce,0,550,MB,400,0,25,345,480,90.03
Ce,0,500,MO,215.38,0,25,580,150,28.8
Ag,0.01,400,MB,66.67,6.8,25,254,150,84
Ag,0.01,400,MB,87.5,6.8,25,254,180,95
F,0.74,500,MB,200,7,25,580,120,61
Bi,0,400,Phenol,100,7,25,525,120,94.11
Mo,0.01,450,MO,33.5,0,25,525,90,28
Ga,0.01,500,MB,250,7.5,25,525,60,63
Ce,0,550,MB,400,0,25,345,420,88.5
Fe,0.02,400,MB,99.99,6.99,25,579.99,14.98,18.4
pure,0,750,MB,50,7,0,345,30,99.6
Ga,0.01,500,MB,100,3,25,525,60,3
N,0,500,Phenol,1000,5,25,580,360,48
N,0,600,Phenol,1000,5,25,525,240,97
Bi,0,600,Phenol,100,7,25,525,120,100
Ce,0.01,400,Phenol,50,7,25,365,120,26.5
Ag,0.01,400,MB,100,6.8,25,254,45,77.5
Ce,0,550,MB,400,0,25,345,480,85.5
Ce,0,500,MO,215.38,0,25,580,180,39.9
Ag,0.01,400,MR,50,6.4,20,365,60,100
N,0,400,MB,100,10,25,550,120,11.7
N,18.6,450,MB,750,7,25,600,90,95.12
N,0,500,Phenol,1000,5,25,525,240,89
Ga,0.02,500,MB,100,7.5,25,525,30,63
Ag,0.01,400,MR,20,6.4,20,365,45,82.7
Bi,0,400,Phenol,100,7,25,525,120,100
N,0.02,500,MB,200,7,25,580,20,45
Ga,0.01,500,MB,62.5,7.5,25,525,150,78
pure,0,500,MB,50,7,0,345,15,52.8
Bi,0.01,500,Phenol,100,7,25,525,30,29.17
N,2,500,MB,100,7,0,545,120,57.7
S,0,500,MO,100,2.5,25,580,240,91.5
S,0,800,MO,100,2.5,25,345,60,78.5
N,18.6,450,MB,333.33,7,25,600,90,61.4
pure,0,700,MB,50,7,0,345,15,78.3
N,0,500,Phenol,1000,5,25,580,60,14
Ga,0.01,500,MB,500,7.5,25,525,150,99
Bi,0,500,Phenol,100,7,25,525,90,97.25
pure,0,500,MO,400,0,0,365,120,83.1
Ag,0.01,400,MB,100,6.8,25,254,150,98
Ce,0.01,500,MO,215.38,0,25,580,60,21.8
Ce,0,550,MB,400,0,25,345,300,77.8
Ag,0.01,400,MB,100,6,25,254,120,94.4
Ce,0.01,400,Phenol,50,7,25,365,180,40
N,0,400,MB,100,5,25,463,120,9.4
Bi,0,400,Phenol,100,7,25,525,30,34.44
Ce,0,500,MO,215.38,0,25,580,120,23.9
Ag,0.01,400,MB,112.5,6.8,25,254,180,99
pure,0,500,MO,400,0,0,525,20,47.2
Bi,0,600,Phenol,100,7,25,525,45,63.3
Cd,0.05,500,AO,50,7,0,580,60,35.25
N,0,400,MB,100,7,25,550,30,18.9
Ce,0,550,MB,400,0,25,345,120,58.8
N,18.6,450,MB,333.33,7,25,600,180,80.7
Ga,0.01,500,MB,100,7.5,25,525,30,76
S,0,500,MO,100,2.5,25,345,45,74.3
pure,10,500,MB,100,7,25,430,80,10
Ce,0,500,MO,215.38,0,25,580,60,23.2
P,0.04,500,RhB,16.67,7,16,420,30,86
S,0,800,MO,100,2.5,25,580,60,23
N,0,700,Phenol,1000,5,25,580,240,19
Cd,0.15,500,AO,33.33,2,0,580,120,71.65
Ni,0.09,500,MO,400,0,25,525,15,95.7
N,0.02,500,MB,200,7,25,580,40,55
C,16,800,MB,100,7,25.02,425.03,100.01,87
S,1.5,450,MB,100,7,25,420,210,67
Ni,0.09,500,MO,400,0,25,365,30,44.1
N,18.6,450,MB,400,7,25,600,30,73
Bi,0,500,Phenol,100,7,25,525,60,86.61
C,16,400,MB,100,7,25,425,80,50
Ag,0.01,400,MR,50,4,20,365,45,99
Cd,0.15,500,AO,50,4,0,580,120,82.9
N,0,400,MB,100,7,25,550,60,24.5
